month,day,year,temp,season,tempc
3,3,1995,32.6,Winter,0.333333333333
3,4,1995,35.4,Winter,1.88888888889
3,5,1995,39.0,Winter,3.88888888889
3,6,1995,44.0,Winter,6.66666666667
3,7,1995,45.8,Winter,7.66666666667
3,8,1995,52.6,Winter,11.4444444444
3,9,1995,35.3,Winter,1.83333333333
3,10,1995,27.6,Winter,-2.44444444444
3,11,1995,37.5,Winter,3.05555555556
3,12,1995,40.0,Winter,4.44444444444
3,13,1995,51.2,Winter,10.6666666667
3,14,1995,51.8,Winter,11.0
3,15,1995,51.2,Winter,10.6666666667
3,16,1995,49.7,Winter,9.83333333333
3,17,1995,49.0,Winter,9.44444444444
3,18,1995,47.6,Winter,8.66666666667
3,19,1995,46.3,Winter,7.94444444444
3,20,1995,45.6,Spring,7.55555555556
3,21,1995,51.4,Spring,10.7777777778
3,22,1995,49.2,Spring,9.55555555556
3,23,1995,46.0,Spring,7.77777777778
3,24,1995,43.6,Spring,6.44444444444
3,25,1995,41.6,Spring,5.33333333333
3,26,1995,49.9,Spring,9.94444444444
3,27,1995,48.0,Spring,8.88888888889
3,28,1995,46.7,Spring,8.16666666667
3,29,1995,47.9,Spring,8.83333333333
3,30,1995,46.7,Spring,8.16666666667
3,31,1995,47.6,Spring,8.66666666667
4,1,1995,45.8,Spring,7.66666666667
4,2,1995,44.1,Spring,6.72222222222
4,3,1995,44.2,Spring,6.77777777778
4,4,1995,52.2,Spring,11.2222222222
4,5,1995,32.2,Spring,0.111111111111
4,6,1995,35.3,Spring,1.83333333333
4,7,1995,49.6,Spring,9.77777777778
4,8,1995,43.8,Spring,6.55555555556
4,9,1995,48.1,Spring,8.94444444444
4,10,1995,44.6,Spring,7.0
4,11,1995,48.1,Spring,8.94444444444
4,12,1995,46.5,Spring,8.05555555556
4,13,1995,55.1,Spring,12.8333333333
4,14,1995,48.7,Spring,9.27777777778
4,15,1995,48.3,Spring,9.05555555556
4,16,1995,50.9,Spring,10.5
4,17,1995,50.3,Spring,10.1666666667
4,18,1995,53.1,Spring,11.7222222222
4,19,1995,58.1,Spring,14.5
4,20,1995,59.5,Spring,15.2777777778
4,21,1995,58.4,Spring,14.6666666667
4,22,1995,59.5,Spring,15.2777777778
4,23,1995,54.3,Spring,12.3888888889
4,24,1995,52.3,Spring,11.2777777778
4,25,1995,54.5,Spring,12.5
4,26,1995,56.6,Spring,13.6666666667
4,27,1995,61.7,Spring,16.5
4,28,1995,63.4,Spring,17.4444444444
4,29,1995,59.4,Spring,15.2222222222
4,30,1995,51.5,Spring,10.8333333333
5,1,1995,50.7,Spring,10.3888888889
5,2,1995,50.6,Spring,10.3333333333
5,3,1995,57.2,Spring,14.0
5,4,1995,62.9,Spring,17.1666666667
5,5,1995,58.0,Spring,14.4444444444
5,6,1995,58.9,Spring,14.9444444444
5,7,1995,57.9,Spring,14.3888888889
5,8,1995,55.6,Spring,13.1111111111
5,9,1995,61.0,Spring,16.1111111111
5,10,1995,54.7,Spring,12.6111111111
5,11,1995,52.0,Spring,11.1111111111
5,12,1995,56.8,Spring,13.7777777778
5,13,1995,62.3,Spring,16.8333333333
5,14,1995,58.9,Spring,14.9444444444
5,15,1995,56.1,Spring,13.3888888889
5,16,1995,62.8,Spring,17.1111111111
5,17,1995,63.7,Spring,17.6111111111
5,18,1995,67.1,Spring,19.5
5,19,1995,58.3,Spring,14.6111111111
5,20,1995,63.5,Spring,17.5
5,21,1995,70.3,Spring,21.2777777778
5,22,1995,69.5,Spring,20.8333333333
5,23,1995,66.3,Spring,19.0555555556
5,24,1995,74.1,Spring,23.3888888889
5,25,1995,69.3,Spring,20.7222222222
5,26,1995,58.6,Spring,14.7777777778
5,27,1995,63.3,Spring,17.3888888889
5,28,1995,60.4,Spring,15.7777777778
5,29,1995,64.7,Spring,18.1666666667
5,30,1995,68.5,Spring,20.2777777778
5,31,1995,73.4,Spring,23.0
6,1,1995,77.5,Spring,25.2777777778
6,2,1995,71.4,Spring,21.8888888889
6,3,1995,74.6,Spring,23.6666666667
6,4,1995,72.3,Spring,22.3888888889
6,5,1995,71.9,Spring,22.1666666667
6,6,1995,73.8,Spring,23.2222222222
6,7,1995,72.6,Spring,22.5555555556
6,8,1995,78.7,Spring,25.9444444444
6,9,1995,67.3,Spring,19.6111111111
6,10,1995,68.1,Spring,20.0555555556
6,11,1995,70.2,Spring,21.2222222222
6,12,1995,68.7,Spring,20.3888888889
6,13,1995,62.9,Spring,17.1666666667
6,14,1995,66.0,Spring,18.8888888889
6,15,1995,70.0,Spring,21.1111111111
6,16,1995,73.5,Spring,23.0555555556
6,17,1995,76.8,Spring,24.8888888889
6,18,1995,80.4,Spring,26.8888888889
6,19,1995,84.6,Spring,29.2222222222
6,20,1995,86.4,Summer,30.2222222222
6,21,1995,70.1,Summer,21.1666666667
6,22,1995,67.8,Summer,19.8888888889
6,23,1995,67.8,Summer,19.8888888889
6,24,1995,67.1,Summer,19.5
6,25,1995,69.4,Summer,20.7777777778
6,26,1995,72.5,Summer,22.5
6,27,1995,69.2,Summer,20.6666666667
6,28,1995,63.0,Summer,17.2222222222
6,29,1995,67.0,Summer,19.4444444444
6,30,1995,73.0,Summer,22.7777777778
7,1,1995,73.4,Summer,23.0
7,2,1995,73.0,Summer,22.7777777778
7,3,1995,71.0,Summer,21.6666666667
7,4,1995,74.9,Summer,23.8333333333
7,5,1995,74.8,Summer,23.7777777778
7,6,1995,75.5,Summer,24.1666666667
7,7,1995,75.0,Summer,23.8888888889
7,8,1995,76.8,Summer,24.8888888889
7,9,1995,69.3,Summer,20.7222222222
7,10,1995,74.1,Summer,23.3888888889
7,11,1995,73.7,Summer,23.1666666667
7,12,1995,74.0,Summer,23.3333333333
7,13,1995,79.8,Summer,26.5555555556
7,14,1995,87.5,Summer,30.8333333333
7,15,1995,93.7,Summer,34.2777777778
7,16,1995,82.6,Summer,28.1111111111
7,17,1995,77.6,Summer,25.3333333333
7,18,1995,77.7,Summer,25.3888888889
7,19,1995,81.7,Summer,27.6111111111
7,20,1995,82.3,Summer,27.9444444444
7,21,1995,80.9,Summer,27.1666666667
7,22,1995,78.8,Summer,26.0
7,23,1995,78.8,Summer,26.0
7,24,1995,82.3,Summer,27.9444444444
7,25,1995,81.2,Summer,27.3333333333
7,26,1995,83.9,Summer,28.8333333333
7,27,1995,86.7,Summer,30.3888888889
7,28,1995,81.2,Summer,27.3333333333
7,29,1995,87.4,Summer,30.7777777778
7,30,1995,85.1,Summer,29.5
7,31,1995,82.5,Summer,28.0555555556
8,1,1995,84.8,Summer,29.3333333333
8,2,1995,86.3,Summer,30.1666666667
8,3,1995,80.6,Summer,27.0
8,4,1995,85.7,Summer,29.8333333333
8,5,1995,81.6,Summer,27.5555555556
8,6,1995,73.2,Summer,22.8888888889
8,7,1995,71.5,Summer,21.9444444444
8,8,1995,71.6,Summer,22.0
8,9,1995,74.7,Summer,23.7222222222
8,10,1995,76.4,Summer,24.6666666667
8,11,1995,78.8,Summer,26.0
8,12,1995,82.4,Summer,28.0
8,13,1995,81.9,Summer,27.7222222222
8,14,1995,81.7,Summer,27.6111111111
8,15,1995,78.9,Summer,26.0555555556
8,16,1995,79.7,Summer,26.5
8,17,1995,81.6,Summer,27.5555555556
8,18,1995,83.0,Summer,28.3333333333
8,19,1995,75.3,Summer,24.0555555556
8,20,1995,72.4,Summer,22.4444444444
8,21,1995,77.6,Summer,25.3333333333
8,22,1995,82.0,Summer,27.7777777778
8,23,1995,75.3,Summer,24.0555555556
8,24,1995,76.8,Summer,24.8888888889
8,25,1995,72.0,Summer,22.2222222222
8,26,1995,72.1,Summer,22.2777777778
8,27,1995,77.3,Summer,25.1666666667
8,28,1995,72.8,Summer,22.6666666667
8,29,1995,72.2,Summer,22.3333333333
8,30,1995,72.7,Summer,22.6111111111
8,31,1995,75.8,Summer,24.3333333333
9,1,1995,78.7,Summer,25.9444444444
9,2,1995,75.1,Summer,23.9444444444
9,3,1995,72.2,Summer,22.3333333333
9,4,1995,74.5,Summer,23.6111111111
9,5,1995,75.9,Summer,24.3888888889
9,6,1995,77.0,Summer,25.0
9,7,1995,77.3,Summer,25.1666666667
9,8,1995,73.7,Summer,23.1666666667
9,9,1995,68.0,Summer,20.0
9,10,1995,68.3,Summer,20.1666666667
9,11,1995,62.6,Summer,17.0
9,12,1995,67.9,Summer,19.9444444444
9,13,1995,74.1,Summer,23.3888888889
9,14,1995,79.1,Summer,26.1666666667
9,15,1995,69.2,Summer,20.6666666667
9,16,1995,66.0,Summer,18.8888888889
9,17,1995,65.6,Summer,18.6666666667
9,18,1995,67.5,Summer,19.7222222222
9,19,1995,63.1,Summer,17.2777777778
9,20,1995,63.6,Fall,17.5555555556
9,21,1995,70.0,Fall,21.1111111111
9,22,1995,71.2,Fall,21.7777777778
9,23,1995,59.3,Fall,15.1666666667
9,24,1995,57.6,Fall,14.2222222222
9,25,1995,59.8,Fall,15.4444444444
9,26,1995,60.4,Fall,15.7777777778
9,27,1995,64.8,Fall,18.2222222222
9,28,1995,68.2,Fall,20.1111111111
9,29,1995,61.2,Fall,16.2222222222
9,30,1995,59.0,Fall,15.0
10,1,1995,62.7,Fall,17.0555555556
10,2,1995,68.8,Fall,20.4444444444
10,3,1995,71.7,Fall,22.0555555556
10,4,1995,71.7,Fall,22.0555555556
10,5,1995,68.6,Fall,20.3333333333
10,6,1995,75.3,Fall,24.0555555556
10,7,1995,61.7,Fall,16.5
10,8,1995,64.4,Fall,18.0
10,9,1995,61.7,Fall,16.5
10,10,1995,62.2,Fall,16.7777777778
10,11,1995,65.7,Fall,18.7222222222
10,12,1995,69.8,Fall,21.0
10,13,1995,74.2,Fall,23.4444444444
10,14,1995,70.2,Fall,21.2222222222
10,15,1995,60.2,Fall,15.6666666667
10,16,1995,54.8,Fall,12.6666666667
10,17,1995,54.3,Fall,12.3888888889
10,18,1995,58.8,Fall,14.8888888889
10,19,1995,62.5,Fall,16.9444444444
10,20,1995,65.1,Fall,18.3888888889
10,21,1995,67.5,Fall,19.7222222222
10,22,1995,55.2,Fall,12.8888888889
10,23,1995,62.4,Fall,16.8888888889
10,24,1995,65.0,Fall,18.3333333333
10,25,1995,60.5,Fall,15.8333333333
10,26,1995,55.0,Fall,12.7777777778
10,27,1995,57.5,Fall,14.1666666667
10,28,1995,65.6,Fall,18.6666666667
10,29,1995,55.6,Fall,13.1111111111
10,30,1995,49.8,Fall,9.88888888889
10,31,1995,53.7,Fall,12.0555555556
11,1,1995,55.3,Fall,12.9444444444
11,2,1995,62.1,Fall,16.7222222222
11,3,1995,67.0,Fall,19.4444444444
11,4,1995,50.1,Fall,10.0555555556
11,5,1995,41.2,Fall,5.11111111111
11,6,1995,44.6,Fall,7.0
11,7,1995,49.5,Fall,9.72222222222
11,8,1995,48.1,Fall,8.94444444444
11,9,1995,38.5,Fall,3.61111111111
11,10,1995,43.4,Fall,6.33333333333
11,11,1995,56.9,Fall,13.8333333333
11,12,1995,47.7,Fall,8.72222222222
11,13,1995,37.4,Fall,3.0
11,14,1995,43.6,Fall,6.44444444444
11,15,1995,45.6,Fall,7.55555555556
11,16,1995,39.2,Fall,4.0
11,17,1995,38.8,Fall,3.77777777778
11,18,1995,42.7,Fall,5.94444444444
11,19,1995,46.3,Fall,7.94444444444
11,20,1995,43.6,Fall,6.44444444444
11,21,1995,48.2,Fall,9.0
11,22,1995,41.5,Fall,5.27777777778
11,23,1995,38.8,Fall,3.77777777778
11,24,1995,40.0,Fall,4.44444444444
11,25,1995,35.0,Fall,1.66666666667
11,26,1995,40.4,Fall,4.66666666667
11,27,1995,47.0,Fall,8.33333333333
11,28,1995,57.0,Fall,13.8888888889
11,29,1995,36.1,Fall,2.27777777778
11,30,1995,32.8,Fall,0.444444444444
12,1,1995,41.1,Fall,5.05555555556
12,2,1995,44.8,Fall,7.11111111111
12,3,1995,41.5,Fall,5.27777777778
12,4,1995,49.8,Fall,9.88888888889
12,5,1995,39.4,Fall,4.11111111111
12,6,1995,43.8,Fall,6.55555555556
12,7,1995,38.6,Fall,3.66666666667
12,8,1995,32.5,Fall,0.277777777778
12,9,1995,32.9,Fall,0.5
12,10,1995,26.6,Fall,-3.0
12,11,1995,20.3,Fall,-6.5
12,12,1995,21.8,Fall,-5.66666666667
12,13,1995,26.0,Fall,-3.33333333333
12,14,1995,28.6,Fall,-1.88888888889
12,15,1995,38.1,Fall,3.38888888889
12,16,1995,38.1,Fall,3.38888888889
12,17,1995,38.9,Fall,3.83333333333
12,18,1995,35.5,Fall,1.94444444444
12,19,1995,30.8,Fall,-0.666666666667
